4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 
4, 3, 2, 2, 2, 2, 4, 3, 2, 2, 2, 3, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 0, 5, 0, 2, 2, 2, 2, 4, 
4, 4, 4, 4, 2, 0, 2, 0, 2, 4, 4, 4, 4, 
4, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
4, 3, 2, 2, 2, 3, 4, 2, 2, 2, 2, 3, 4, 
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 
DOWN
4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 
4, 3, 2, 2, 2, 2, 4, 3, 2, 2, 2, 3, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 0, 0, 5, 0, 2, 2, 2, 2, 4, 
4, 4, 4, 4, 2, 0, 2, 0, 2, 4, 4, 4, 4, 
4, 2, 2, 2, 2, 0, 2, 0, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
4, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 4, 
